what,kind,bundleId,bundleVersion,description,time
error,log,,,"An internal error occurred during: ""Loading bundle: L:\\Downloads\\eclipse-java-helios-SR1-win32\\eclipse\\configuration\\org.eclipse.osgi\\bundles\\600\\1\\.cp\\bundles\\sass.ruble"".",1312448104845
error,log,,,"(LoadError) no such file to load -- ruble/ui",1312448104916
error,log,,,"An internal error occurred during: ""Loading bundle: L:\\Downloads\\eclipse-java-helios-SR1-win32\\eclipse\\configuration\\org.eclipse.osgi\\bundles\\600\\1\\.cp\\bundles\\js.ruble"".",1312448105186
error,log,,,"(LoadError) no such file to load -- ruble/ui",1312448105380
error,log,,,"An internal error occurred during: ""Loading bundle: L:\\Downloads\\eclipse-java-helios-SR1-win32\\eclipse\\configuration\\org.eclipse.osgi\\bundles\\600\\1\\.cp\\bundles\\xml.ruble"".",1312448105533
error,log,,,"An internal error occurred during: ""Loading bundle: L:\\Downloads\\eclipse-java-helios-SR1-win32\\eclipse\\configuration\\org.eclipse.osgi\\bundles\\600\\1\\.cp\\bundles\\rails.ruble"".",1312448105630
error,log,,,"An internal error occurred during: ""Loading bundle: L:\\Downloads\\eclipse-java-helios-SR1-win32\\eclipse\\configuration\\org.eclipse.osgi\\bundles\\600\\1\\.cp\\bundles\\ruby.ruble"".",1312448105750
error,log,,,"(LoadError) no such file to load -- ruble/ui",1312448106009
error,log,,,"An internal error occurred during: ""Loading bundle: L:\\Downloads\\eclipse-java-helios-SR1-win32\\eclipse\\configuration\\org.eclipse.osgi\\bundles\\600\\1\\.cp\\bundles\\shell-script.ruble"".",1312448106169
error,log,,,"An internal error occurred during: ""Loading bundle: L:\\Downloads\\eclipse-java-helios-SR1-win32\\eclipse\\configuration\\org.eclipse.osgi\\bundles\\600\\1\\.cp\\bundles\\text.ruble"".",1312448106398
error,log,,,"An internal error occurred during: ""Loading bundle: L:\\Downloads\\eclipse-java-helios-SR1-win32\\eclipse\\configuration\\org.eclipse.osgi\\bundles\\600\\1\\.cp\\bundles\\yaml.ruble"".",1312448106511
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312448114723
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1312448121863
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312448121867
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1312448122721
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1312448122844
stopped,bundle,com.instantiations.designer.rcp.databinding.xwt,8.1.1.r36x201012170700,"com.instantiations.designer.rcp.databinding.xwt",1312448122844
stopped,bundle,com.instantiations.designer.core.databinding.xml,8.1.1.r36x201012161237,"com.instantiations.designer.core.databinding.xml",1312448122845
stopped,bundle,com.instantiations.designer.gxt.databinding,8.1.1.r36x201012170650,"com.instantiations.designer.gxt.databinding",1312448122846
stopped,bundle,com.instantiations.designer.rcp.databinding.emf,8.1.1.r36x201012170653,"com.instantiations.designer.rcp.databinding.emf",1312448122847
stopped,bundle,com.instantiations.designer.rcp.databinding,8.1.1.r36x201012170653,"com.instantiations.designer.rcp.databinding",1312448122849
stopped,bundle,com.instantiations.designer.swing.databinding,8.1.1.r36x201012170656,"com.instantiations.designer.swing.databinding",1312448122850
