what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1312448055036
os,sysinfo,,,"win32",1312448055056
arch,sysinfo,,,"x86",1312448055056
ws,sysinfo,,,"win32",1312448055056
locale,sysinfo,,,"sv_SE",1312448055056
processors,sysinfo,,,"2",1312448055056
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1312448055056
java.runtime.version,sysinfo,,,"1.6.0_25-b06",1312448055056
java.specification.name,sysinfo,,,"Java Platform API Specification",1312448055056
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1312448055056
java.specification.version,sysinfo,,,"1.6",1312448055056
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1312448055056
java.version,sysinfo,,,"1.6.0_25",1312448055056
java.vm.info,sysinfo,,,"mixed mode, sharing",1312448055056
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1312448055056
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1312448055056
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1312448055056
java.vm.specification.version,sysinfo,,,"1.0",1312448055056
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1312448055056
java.vm.version,sysinfo,,,"20.0-b11",1312448055056
started,bundle,org.eclipse.m2e.usagedata,1.0.0.20110607-2117,"org.eclipse.m2e.usagedata",1312448055182
started,bundle,com.aptana.filewatcher,3.0.0.1308864319,"com.aptana.filewatcher",1312448055268
started,bundle,com.aptana.scripting,3.0.0.1310675739,"com.aptana.scripting",1312448055355
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312448055367
started,bundle,com.aptana.core,3.0.3.1309283206,"com.aptana.core",1312448055406
started,bundle,com.aptana.theme,3.0.0.1309294524,"com.aptana.theme",1312448055432
started,bundle,com.aptana.usage,3.0.0.1310675739,"com.aptana.usage",1312448055470
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312448056659
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1312448057011
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312448057968
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1312448065166
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1312448067068
stopped,bundle,com.instantiations.designer.rcp.databinding.xwt,8.1.1.r36x201012170700,"com.instantiations.designer.rcp.databinding.xwt",1312448067172
stopped,bundle,com.instantiations.designer.core.databinding.xml,8.1.1.r36x201012161237,"com.instantiations.designer.core.databinding.xml",1312448067302
stopped,bundle,com.instantiations.designer.gxt.databinding,8.1.1.r36x201012170650,"com.instantiations.designer.gxt.databinding",1312448067389
stopped,bundle,com.instantiations.designer.rcp.databinding.emf,8.1.1.r36x201012170653,"com.instantiations.designer.rcp.databinding.emf",1312448067445
stopped,bundle,com.instantiations.designer.rcp.databinding,8.1.1.r36x201012170653,"com.instantiations.designer.rcp.databinding",1312448067534
stopped,bundle,com.instantiations.designer.swing.databinding,8.1.1.r36x201012170656,"com.instantiations.designer.swing.databinding",1312448067694
stopped,bundle,com.instantiations.designer.core.databinding,8.1.1.r36x201012161228,"com.instantiations.designer.core.databinding",1312448067792
stopped,bundle,com.instantiations.designer.rcp.GroupLayout,8.1.1.r36x201012170653,"com.instantiations.designer.rcp.GroupLayout",1312448067835
stopped,bundle,com.instantiations.designer.rcp.SWT_AWT,8.1.1.r36x201012170702,"com.instantiations.designer.rcp.SWT_AWT",1312448067835
stopped,bundle,com.instantiations.designer.rcp.nebula,8.1.1.r36x201012170653,"com.instantiations.designer.rcp.nebula",1312448067924
stopped,bundle,com.instantiations.designer.rcp.swing2swt,8.1.1.r36x201012170653,"com.instantiations.designer.rcp.swing2swt",1312448068030
stopped,bundle,com.instantiations.designer.xwt,8.1.1.r36x201012170700,"com.instantiations.designer.xwt",1312448068030
stopped,bundle,com.instantiations.designer.rcp,8.1.1.r36x201012170653,"com.instantiations.designer.rcp",1312448068030
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1312448068287
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20100601,"org.eclipse.pde.ds.ui",1312448068439
stopped,bundle,org.eclipse.pde.runtime,3.4.200.v20100601,"org.eclipse.pde.runtime",1312448068500
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20100504,"org.eclipse.pde.ua.ui",1312448068637
stopped,bundle,org.eclipse.pde.ui.templates,3.4.200.v20100601,"org.eclipse.pde.ui.templates",1312448068711
stopped,bundle,org.eclipse.wb.core.databinding.xml,0.9.0.r36x201102111443,"org.eclipse.wb.core.databinding.xml",1312448068738
stopped,bundle,org.eclipse.wb.core.databinding,0.9.0.r36x201102111430,"org.eclipse.wb.core.databinding",1312448068810
stopped,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1312448068810
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1312448068955
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1312448068986
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1312448069046
stopped,bundle,com.google.appengine.eclipse.sdkbundle.1.4.2,1.4.2.v201102111811,"com.google.appengine.eclipse.sdkbundle.1.4.2",1312448069126
stopped,bundle,com.google.gdt.eclipse.maven,2.2.0.v201102111811,"com.google.gdt.eclipse.maven",1312448069210
stopped,bundle,com.google.gdt.eclipse.suite,2.2.0.v201102111811,"com.google.gdt.eclipse.suite",1312448069236
stopped,bundle,com.google.appengine.eclipse.core,2.2.0.v201102111811,"com.google.appengine.eclipse.core",1312448069274
stopped,bundle,com.google.gwt.eclipse.oophm,2.2.0.v201102111811,"com.google.gwt.eclipse.oophm",1312448069341
stopped,bundle,com.google.gwt.eclipse.sdkbundle.2.2.0,2.2.0.v201102111811,"com.google.gwt.eclipse.sdkbundle.2.2.0",1312448069352
stopped,bundle,com.google.gwt.eclipse.core,2.2.0.v201102111811,"com.google.gwt.eclipse.core",1312448069388
stopped,bundle,com.google.gdt.eclipse.core,2.2.0.v201102111811,"com.google.gdt.eclipse.core",1312448069408
stopped,bundle,com.google.gdt.eclipse.platform,2.2.0.v201102111811,"com.google.gdt.eclipse.platform",1312448069428
stopped,bundle,com.google.gdt.eclipse.platform.e36,2.2.0.v201102111811,"com.google.gdt.eclipse.platform.e36",1312448069445
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1312448069477
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1312448069500
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1312448069503
stopped,bundle,com.instantiations.designer.gwt.ExtGWT,8.1.1.r36x201012170650,"com.instantiations.designer.gwt.ExtGWT",1312448069503
stopped,bundle,com.instantiations.designer.gwt.GWTExt,8.1.1.r36x201012170650,"com.instantiations.designer.gwt.GWTExt",1312448069540
stopped,bundle,com.instantiations.designer.gwt.SmartGWT,8.1.1.r36x201012170650,"com.instantiations.designer.gwt.SmartGWT",1312448069540
stopped,bundle,com.instantiations.designer.gwt.UiBinder.wizards,8.1.1.r36x201012170650,"com.instantiations.designer.gwt.UiBinder.wizards",1312448069575
stopped,bundle,com.instantiations.designer.gwt.UiBinder,8.1.1.r36x201012170442,"com.instantiations.designer.gwt.UiBinder",1312448069575
stopped,bundle,com.instantiations.designer.gwt.launch,8.1.1.r36x201012170650,"com.instantiations.designer.gwt.launch",1312448069599
stopped,bundle,com.instantiations.designer.gwt.preferences,8.1.1.r36x201012170650,"com.instantiations.designer.gwt.preferences",1312448069601
stopped,bundle,com.instantiations.designer.gwt.wizards,8.1.1.r36x201012170650,"com.instantiations.designer.gwt.wizards",1312448069613
stopped,bundle,com.instantiations.designer.gwt,8.1.1.r36x201012170442,"com.instantiations.designer.gwt",1312448069613
stopped,bundle,com.google.gdt.eclipse.designer.UiBinder,2.2.0.r36x201102111505,"com.google.gdt.eclipse.designer.UiBinder",1312448069613
stopped,bundle,com.google.gdt.eclipse.designer.gpe,2.2.0.r36x201102111547,"com.google.gdt.eclipse.designer.gpe",1312448069623
stopped,bundle,com.google.gdt.eclipse.designer,2.2.0.r36x201102111505,"com.google.gdt.eclipse.designer",1312448069623
stopped,bundle,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.adt",1312448069623
stopped,bundle,org.eclipse.mtj.jmunit,1.0.1.201101310801,"org.eclipse.mtj.jmunit",1312448069650
stopped,bundle,org.eclipse.m2e.launching,1.0.0.20110607-2117,"org.eclipse.m2e.launching",1312448069715
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1312448069745
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1312448069767
stopped,bundle,org.eclipse.mtj.eswt.templates,1.0.1.201101310801,"org.eclipse.mtj.eswt.templates",1312448069864
stopped,bundle,org.eclipse.mtj.examples.toolkit.sdkprovidertestclamp,1.0.2.201101310801,"org.eclipse.mtj.examples.toolkit.sdkprovidertestclamp",1312448069900
stopped,bundle,org.eclipse.mtj.examples.toolkit.sdkprovidertestclamp2,1.0.2.201101310801,"org.eclipse.mtj.examples.toolkit.sdkprovidertestclamp2",1312448069930
stopped,bundle,org.eclipse.mtj.toolkit.microemu,1.0.0.201101310801,"org.eclipse.mtj.toolkit.microemu",1312448069971
stopped,bundle,org.eclipse.mtj.toolkit.mpowerplayer,1.0.0.201101310801,"org.eclipse.mtj.toolkit.mpowerplayer",1312448070026
stopped,bundle,org.eclipse.mtj.toolkit.cinterion,1.0.0.201101310801,"org.eclipse.mtj.toolkit.cinterion",1312448070069
stopped,bundle,org.eclipse.mtj.toolkit.nokia,1.0.0.201101310801,"org.eclipse.mtj.toolkit.nokia",1312448070091
stopped,bundle,org.eclipse.mtj.toolkit.uei,1.0.1.201101310801,"org.eclipse.mtj.toolkit.uei",1312448070105
stopped,bundle,org.eclipse.mtj.ui,1.2.1.201101310801,"org.eclipse.mtj.ui",1312448070183
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1312448070220
stopped,bundle,com.instantiations.designer.swing.FormLayout,8.1.1.r36x201012170656,"com.instantiations.designer.swing.FormLayout",1312448070259
stopped,bundle,com.instantiations.designer.swing.LookAndFeel,8.1.1.r36x201012170656,"com.instantiations.designer.swing.LookAndFeel",1312448070302
stopped,bundle,com.instantiations.designer.swing.MigLayout,8.1.1.r36x201012170656,"com.instantiations.designer.swing.MigLayout",1312448070356
stopped,bundle,com.instantiations.designer.swing.ams,8.1.1.r36x201012170656,"com.instantiations.designer.swing.ams",1312448070394
stopped,bundle,com.instantiations.designer.swing.hc,8.1.1.r36x201012170656,"com.instantiations.designer.swing.hc",1312448070422
stopped,bundle,com.instantiations.designer.swing.java6,8.1.1.r36x201012170656,"com.instantiations.designer.swing.java6",1312448070459
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1312448097740
started,bundle,org.eclipse.osgi,3.6.1.R36x_v20100806,"org.eclipse.osgi",1312448097742
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1312448097742
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1312448097743
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1312448097743
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1312448097743
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1312448097743
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1312448097744
started,bundle,org.eclipse.core.filesystem,1.3.1.R36x_v20100727-0745,"org.eclipse.core.filesystem",1312448097744
started,bundle,org.eclipse.core.jobs,3.5.1.R36x_v20100824,"org.eclipse.core.jobs",1312448097744
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1312448097744
started,bundle,org.eclipse.core.resources,3.6.0.R36x_v20100825-0600,"org.eclipse.core.resources",1312448097745
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1312448097745
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1312448097745
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1312448097745
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1312448097746
started,bundle,org.eclipse.equinox.app,1.3.1.R36x_v20100803,"org.eclipse.equinox.app",1312448097746
started,bundle,org.eclipse.equinox.common,3.6.0.v20100503,"org.eclipse.equinox.common",1312448097746
started,bundle,org.eclipse.equinox.ds,1.2.1.R36x_v20100803,"org.eclipse.equinox.ds",1312448097747
started,bundle,org.eclipse.equinox.event,1.2.0.v20100503,"org.eclipse.equinox.event",1312448097747
started,bundle,org.eclipse.equinox.p2.core,2.0.2.R36x_v20100804,"org.eclipse.equinox.p2.core",1312448097747
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.202.R36x_v20100727,"org.eclipse.equinox.p2.directorywatcher",1312448097747
started,bundle,org.eclipse.equinox.p2.engine,2.0.0.v20100606,"org.eclipse.equinox.p2.engine",1312448097747
started,bundle,org.eclipse.equinox.p2.metadata,2.0.0.v20100601,"org.eclipse.equinox.p2.metadata",1312448097747
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1312448097747
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,"org.eclipse.equinox.p2.operations",1312448097747
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.0.v20100525,"org.eclipse.equinox.p2.reconciler.dropins",1312448097747
started,bundle,org.eclipse.equinox.p2.repository,2.0.1.R36x_v20100823,"org.eclipse.equinox.p2.repository",1312448097747
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1312448097747
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.101.R36x_v20100823,"org.eclipse.equinox.p2.updatechecker",1312448097747
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100503,"org.eclipse.equinox.preferences",1312448097747
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1312448097747
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1312448097747
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1312448097747
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1312448097747
started,bundle,org.eclipse.jdt.core,3.6.1.v_A68_R36x,"org.eclipse.jdt.core",1312448097747
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1312448097747
started,bundle,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui",1312448097747
started,bundle,org.eclipse.jface,3.6.1.M20100825-0800,"org.eclipse.jface",1312448097747
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1312448097747
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1312448097747
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1312448097747
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1312448097747
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1312448097747
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1312448097747
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1312448097747
